,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite X,Bsite CS,Asite IP,Bsite IP,Asite EA,Bsite EA,Asite s,Asite d,Bsite d,Bsite atomic_radius,Bsite average_ionic_radius,Asite exp_EA,Bsite exp_EA,GM,Asite Z,Work function
82,Rb,Cr,B,0.0,-7.77458,0.49723,0.38434,-44.29918,-2.37217,1.66,0.89,4.0528,6.7401,0.5794,1.3828,1.67,0.71,0.25,1.4,0.94,46.9,64.3,5.18053,37,5.75927
83,Rb,Cr,A,0.0,-7.77458,0.49723,0.38434,-44.29918,-2.37217,1.66,0.89,4.0528,6.7401,0.5794,1.3828,1.67,0.71,0.25,1.4,0.94,46.9,64.3,5.18053,37,2.00523
84,Rb,Mo,B,0.0,-9.23258,0.46523000000000003,0.37701,-36.34217,-3.2566599999999997,2.16,0.88,4.0528,6.4838,0.5794,1.3549,1.67,0.71,0.49,1.45,0.775,46.9,71.9,5.22973,37,3.89355
85,Rb,Mo,A,0.0,-9.23258,0.46523000000000003,0.37701,-36.34217,-3.2566599999999997,2.16,0.88,4.0528,6.4838,0.5794,1.3549,1.67,0.71,0.49,1.45,0.775,46.9,71.9,5.22973,37,1.51663
86,Rb,W,B,0.0,-9.92344,0.44233999999999996,0.35859,-39.802929999999996,-3.9073,2.36,0.885,4.0528,7.6293,0.5794,1.9369,1.67,0.71,0.59,1.35,0.76667,46.9,78.6,5.35743,37,3.18535
87,Rb,W,A,0.0,-9.92344,0.44233999999999996,0.35859,-39.802929999999996,-3.9073,2.36,0.885,4.0528,7.6293,0.5794,1.9369,1.67,0.71,0.59,1.35,0.76667,46.9,78.6,5.35743,37,0.9517200000000001
88,K,Fe,B,0.0,-10.34431,0.6955600000000001,0.48217,-54.267030000000005,-2.2138299999999997,1.83,0.99,4.2663,8.5601,0.5992,2.304,1.54,0.37,0.22,1.4,0.8525,48.4,15.7,5.30751,19,6.67705
89,K,Fe,A,0.0,-10.34431,0.6955600000000001,0.48217,-54.267030000000005,-2.2138299999999997,1.83,0.99,4.2663,8.5601,0.5992,2.304,1.54,0.37,0.22,1.4,0.8525,48.4,15.7,5.30751,19,3.13734
90,K,Al,B,0.0,-9.4945,0.0,0.0,7.954160000000001,-0.6320899999999999,1.61,1.66,4.2663,5.7109,0.5992,0.2572,1.54,0.37,0.0,1.25,0.675,48.4,42.5,5.07022,19,7.28245
91,K,Al,A,0.0,-9.4945,0.0,0.0,7.954160000000001,-0.6320899999999999,1.61,1.66,4.2663,5.7109,0.5992,0.2572,1.54,0.37,0.0,1.25,0.675,48.4,42.5,5.07022,19,4.24552
92,K,Ga,B,0.0,-9.71682,0.9999,0.99797,6.825,-0.49648000000000003,1.81,1.68,4.2663,5.6565,0.5992,0.1686,1.54,0.37,0.17,1.3,0.76,48.4,28.9,5.06076,19,7.41715
93,K,Ga,A,0.0,-9.71682,0.9999,0.99797,6.825,-0.49648000000000003,1.81,1.68,4.2663,5.6565,0.5992,0.1686,1.54,0.37,0.17,1.3,0.76,48.4,28.9,5.06076,19,4.65994
94,Rb,Mn,B,0.0,-7.64265,0.60928,0.40558,-49.242090000000005,-2.3237900000000002,1.55,0.94,4.0528,8.2684,0.5794,1.8221,1.67,0.71,0.23,1.4,0.6483300000000001,46.9,0.0,5.18053,37,6.20463
95,Rb,Mn,A,0.0,-7.64265,0.60928,0.40558,-49.242090000000005,-2.3237900000000002,1.55,0.94,4.0528,8.2684,0.5794,1.8221,1.67,0.71,0.23,1.4,0.6483300000000001,46.9,0.0,5.18053,37,2.24855
96,Rb,Re,B,0.0,-9.75028,0.59008,0.37945999999999996,-43.621340000000004,-3.9559,1.9,0.94,4.0528,7.853,0.5794,2.7319,1.67,0.71,0.565,1.35,0.7125,46.9,14.5,5.26152,37,3.9475
97,Rb,Re,A,0.0,-9.75028,0.59008,0.37945999999999996,-43.621340000000004,-3.9559,1.9,0.94,4.0528,7.853,0.5794,2.7319,1.67,0.71,0.565,1.35,0.7125,46.9,14.5,5.26152,37,1.0475700000000001
98,Rb,Fe,B,0.0,-7.3963399999999995,0.70577,0.48493,-54.143269999999994,-2.0451900000000003,1.83,0.99,4.0528,8.5601,0.5794,2.304,1.67,0.71,0.22,1.4,0.8525,46.9,15.7,5.27195,37,6.764760000000001
99,Rb,Fe,A,0.0,-7.3963399999999995,0.70577,0.48493,-54.143269999999994,-2.0451900000000003,1.83,0.99,4.0528,8.5601,0.5794,2.304,1.67,0.71,0.22,1.4,0.8525,46.9,15.7,5.27195,37,2.67473
100,Li,In,B,0.0,0.0,0.99977,0.9864299999999999,6.929930000000001,-0.50948,1.78,1.6,5.3425,5.3782,0.7046,0.2822,0.985,0.0,0.36,1.55,0.94,59.6,28.9,5.25301,3,6.18409
101,Li,In,A,0.0,0.0,0.99977,0.9864299999999999,6.929930000000001,-0.50948,1.78,1.6,5.3425,5.3782,0.7046,0.2822,0.985,0.0,0.36,1.55,0.94,59.6,28.9,5.25301,3,7.5422899999999995
102,Li,Ge,B,0.0,0.0,0.9999399999999999,0.99924,5.50064,-1.0852600000000001,2.01,1.92,5.3425,7.4167,0.7046,0.934,0.985,0.0,0.16,1.25,0.77,59.6,119.0,5.68444,3,7.74786
