,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite CS,Asite IP,Asite EA,Bsite EA,Asite s,Asite d,Bsite atomic_radius,Bsite average_ionic_radius,Asite exp_EA,GM,Asite Z,Work function
231,Rb,Ti,A,0.0,-6.9131399999999985,0.19415,0.28537,-32.059670000000004,-0.88235,0.79,4.0528,0.5794,0.2526,1.67,0.71,1.4,0.85167,46.9,5.10305,37,3.7354
233,Li,Mo,A,0.0,0.0,0.45703,0.38509,-36.26548,-3.60999,0.88,5.3425,0.7046,1.3549,0.985,0.0,1.45,0.775,59.6,5.49983,3,4.83073
235,Li,W,A,0.0,0.0,0.43082,0.36636,-39.70431,-4.32199,0.885,5.3425,0.7046,1.9369,0.985,0.0,1.35,0.76667,59.6,5.63413,3,4.25254
237,Li,Mn,A,0.0,0.0,0.59843,0.41315,-49.37794,-2.63575,0.94,5.3425,0.7046,1.8221,0.985,0.0,1.4,0.6483300000000001,59.6,5.4481,3,5.68309
239,Li,Re,A,0.0,0.0,0.58005,0.38772,-43.68314,-4.46995,0.94,5.3425,0.7046,2.7319,0.985,0.0,1.35,0.7125,59.6,5.53326,3,4.18021
241,Li,Fe,A,0.0,0.0,0.69294,0.47433,-54.39139,-2.41134,0.99,5.3425,0.7046,2.3040000000000003,0.985,0.0,1.4,0.8525,59.6,5.5442300000000015,3,6.182
243,Li,Al,A,0.0,0.0,0.0,0.0,9.08165,-0.73245,1.66,5.3425,0.7046,0.2572,0.985,0.0,1.25,0.675,59.6,5.29635,3,7.381869999999998
245,Li,Ga,A,0.0,0.0,0.99982,0.99628,7.55505,-0.59387,1.68,5.3425,0.7046,0.1686,0.985,0.0,1.3,0.76,59.6,5.28647,3,7.444139999999999
247,Ca,Fe,A,0.0,-20.33502,0.74907,0.43371,-53.95036999999999,-2.96626,0.99,6.2588,0.0,2.3040000000000003,1.32,0.34,1.4,0.8525,2.37,5.2073,20,3.61708
249,Ca,Al,A,0.0,-19.08963,0.0,0.0,7.479430000000002,-0.87372,1.66,6.2588,0.0,0.2572,1.32,0.34,1.25,0.675,2.37,4.974480000000002,20,4.97478
251,Ca,Ga,A,0.0,-19.61148,0.99984,0.99758,5.72804,-0.84062,1.68,6.2588,0.0,0.1686,1.32,0.34,1.3,0.76,2.37,4.96521,20,5.33323
253,Ca,In,A,0.0,-20.638070000000006,0.99975,0.98672,5.15241,-0.80235,1.6,6.2588,0.0,0.2822,1.32,0.34,1.55,0.94,2.37,4.9337800000000005,20,5.55529
255,Ca,Ge,A,0.0,-19.75071,0.99995,0.99931,3.87988,-1.56252,1.92,6.2588,0.0,0.934,1.32,0.34,1.25,0.77,2.37,5.33899,20,4.13636
258,Ca,Sb,A,0.0,-23.99589,0.99995,0.99936,-0.09496,-4.02399,2.08,6.2588,0.0,1.8032,1.32,0.34,1.45,0.83,2.37,5.3958,20,2.6188
260,Sr,Sc,A,0.0,-14.7246,0.12742,0.22098,-24.39078,-0.63344,0.74,5.7777,0.0,0.0,1.42,0.633,1.6,0.885,5.03,4.91335,38,4.90776
262,Sr,Ti,A,0.0,-15.1888,0.1998,0.29886,-32.8896,-2.0884400000000003,0.79,5.7777,0.0,0.2526,1.42,0.633,1.4,0.85167,5.03,4.9453,38,3.4793199999999995
265,Sr,Hf,A,0.0,-15.980620000000002,0.21326,0.31009000000000003,-28.696690000000004,-1.7575599999999998,0.775,5.7777,0.0,0.4432,1.42,0.633,1.55,0.85,5.03,5.0418,38,3.39399
267,Sr,V,A,0.0,-16.30046,0.36314,0.31326,-39.28539,-3.72367,0.84,5.7777,0.0,0.0,1.42,0.633,1.35,0.7775,5.03,4.98757,38,1.70646
269,Sr,Nb,A,0.0,-18.37017,0.38771,0.32883,-32.24708,-4.73543,0.82,5.7777,0.0,0.0864,1.42,0.633,1.45,0.82,5.03,5.09379,38,1.58827
271,Sr,Ta,A,0.0,-18.92582,0.3723,0.3189,-35.93282,-5.38389,0.83,5.7777,0.0,1.1716,1.42,0.633,1.45,0.82,5.03,5.1215,38,2.31035
273,Sr,Cr,A,0.0,-15.86866,0.52955,0.35278000000000004,-44.26219,-3.57164,0.89,5.7777,0.0,1.3828,1.42,0.633,1.4,0.94,5.03,5.02039,38,2.00591
275,Sr,Mo,A,0.0,-17.87552,0.52866,0.35037,-36.31132,-4.65846,0.88,5.7777,0.0,1.3549,1.42,0.633,1.45,0.775,5.03,5.06806,38,1.40413
277,Sr,W,A,0.0,-18.55873,0.5092899999999999,0.33523000000000003,-39.71043,-5.39291,0.885,5.7777,0.0,1.9369,1.42,0.633,1.35,0.76667,5.03,5.19182,38,1.85363
279,Sr,Mn,A,0.0,-15.23901,0.64405,0.36364,-49.00403,-3.1467,0.94,5.7777,0.0,1.8221,1.42,0.633,1.4,0.6483300000000001,5.03,5.02039,38,2.44351
