,Asite,Bsite,Type,At2g,Aeg,Ad,Ap,Bt2g,Beg,Bd,Bp,Op,Asite X,Bsite X,Asite CS,Bsite CS,Asite IP,Bsite IP,Asite EA,Bsite EA,Asite s,Bsite s,Asite p,Bsite p,Asite d,Bsite d,Asite atomic_radius,Asite average_ionic_radius,Asite mendeleev_no,Bsite atomic_radius,Bsite average_ionic_radius,Bsite mendeleev_no,Asite exp_IP,Asite exp_EA,Bsite exp_IP,Bsite exp_EA,Asite covalency,Bsite covalency,GM,Asite Z,Bsite Z,Work function
20,Cs,V,B,0.00000,0.00000,0.00000,-4.44134,0.32018,0.33312,0.32533,-38.74522,-1.59585,0.79000,1.63000,0.25000,0.84000,3.68870,6.47070,0.54710,0.00000,1.71000,1.09000,2.60000,1.34000,0.00000,0.26000,2.60000,1.81000,8.00000,1.35000,0.77750,54.00000,375.70000,45.50000,650.90000,50.60000,0.17280,0.44086,5.07428,55,23,6.38650
21,Cs,V,A,0.00000,0.00000,0.00000,-4.44134,0.32018,0.33312,0.32533,-38.74522,-1.59585,0.79000,1.63000,0.25000,0.84000,3.68870,6.47070,0.54710,0.00000,1.71000,1.09000,2.60000,1.34000,0.00000,0.26000,2.60000,1.81000,8.00000,1.35000,0.77750,54.00000,375.70000,45.50000,650.90000,50.60000,0.17280,0.44086,5.07428,55,23,2.43733
22,Cs,Nb,B,0.00000,0.00000,0.00000,-5.09702,0.30027,0.35242,0.32092,-31.23299,-1.65412,0.79000,1.60000,0.25000,0.82000,3.68870,6.27500,0.54710,0.08640,1.71000,1.23000,2.60000,1.53000,0.00000,0.51000,2.60000,1.81000,8.00000,1.45000,0.82000,53.00000,375.70000,45.50000,652.10000,86.10000,0.17280,0.42896,5.18234,55,41,4.17325
23,Cs,Nb,A,0.00000,0.00000,0.00000,-5.09702,0.30027,0.35242,0.32092,-31.23299,-1.65412,0.79000,1.60000,0.25000,0.82000,3.68870,6.27500,0.54710,0.08640,1.71000,1.23000,2.60000,1.53000,0.00000,0.51000,2.60000,1.81000,8.00000,1.45000,0.82000,53.00000,375.70000,45.50000,652.10000,86.10000,0.17280,0.42896,5.18234,55,41,3.25037
24,Cs,Ta,B,0.00000,0.00000,0.00000,-4.99026,0.27395,0.33759,0.29910,-34.36057,-1.51941,0.79000,1.50000,0.25000,0.83000,3.68870,7.36320,0.54710,1.17160,1.71000,1.25000,2.60000,1.54000,0.00000,0.60500,2.60000,1.81000,8.00000,1.45000,0.82000,52.00000,375.70000,45.50000,761.00000,31.00000,0.17280,0.39028,5.21054,55,73,3.35950
25,Cs,Ta,A,0.00000,0.00000,0.00000,-4.99026,0.27395,0.33759,0.29910,-34.36057,-1.51941,0.79000,1.50000,0.25000,0.83000,3.68870,7.36320,0.54710,1.17160,1.71000,1.25000,2.60000,1.54000,0.00000,0.60500,2.60000,1.81000,8.00000,1.45000,0.82000,52.00000,375.70000,45.50000,761.00000,31.00000,0.17280,0.39028,5.21054,55,73,3.32483
26,Cs,Cr,B,0.00000,0.00000,0.00000,-5.06323,0.50635,0.36560,0.45031,-44.21988,-2.36036,0.79000,1.66000,0.25000,0.89000,3.68870,6.74010,0.54710,1.38280,1.71000,1.07000,2.60000,1.37000,0.00000,0.25000,2.60000,1.81000,8.00000,1.40000,0.94000,57.00000,375.70000,45.50000,652.90000,64.30000,0.17280,0.45289,5.10767,55,24,5.89829
27,Cs,Cr,A,0.00000,0.00000,0.00000,-5.06323,0.50635,0.36560,0.45031,-44.21988,-2.36036,0.79000,1.66000,0.25000,0.89000,3.68870,6.74010,0.54710,1.38280,1.71000,1.07000,2.60000,1.37000,0.00000,0.25000,2.60000,1.81000,8.00000,1.40000,0.94000,57.00000,375.70000,45.50000,652.90000,64.30000,0.17280,0.45289,5.10767,55,24,1.98104
28,Cs,Mo,B,0.00000,0.00000,0.00000,-6.11240,0.47104,0.36978,0.43087,-36.35599,-3.05772,0.79000,2.16000,0.25000,0.88000,3.68870,6.48380,0.54710,1.35490,1.71000,1.22000,2.60000,1.50000,0.00000,0.49000,2.60000,1.81000,8.00000,1.45000,0.77500,56.00000,375.70000,45.50000,684.30000,71.90000,0.17280,0.66392,5.15617,55,42,4.23539
29,Cs,Mo,A,0.00000,0.00000,0.00000,-6.11240,0.47104,0.36978,0.43087,-36.35599,-3.05772,0.79000,2.16000,0.25000,0.88000,3.68870,6.48380,0.54710,1.35490,1.71000,1.22000,2.60000,1.50000,0.00000,0.49000,2.60000,1.81000,8.00000,1.45000,0.77500,56.00000,375.70000,45.50000,684.30000,71.90000,0.17280,0.66392,5.15617,55,42,1.42356
30,Cs,W,B,0.00000,0.00000,0.00000,-6.71344,0.44029,0.35200,0.40532,-39.84204,-3.64825,0.79000,2.36000,0.25000,0.88500,3.68870,7.62930,0.54710,1.93690,1.71000,1.22000,2.60000,1.51500,0.00000,0.59000,2.60000,1.81000,8.00000,1.35000,0.76667,55.00000,375.70000,45.50000,770.00000,78.60000,0.17280,0.74707,5.28208,55,74,3.53885
31,Cs,W,A,0.00000,0.00000,0.00000,-6.71344,0.44029,0.35200,0.40532,-39.84204,-3.64825,0.79000,2.36000,0.25000,0.88500,3.68870,7.62930,0.54710,1.93690,1.71000,1.22000,2.60000,1.51500,0.00000,0.59000,2.60000,1.81000,8.00000,1.35000,0.76667,55.00000,375.70000,45.50000,770.00000,78.60000,0.17280,0.74707,5.28208,55,74,0.88186
32,Cs,Mn,B,0.00000,0.00000,0.00000,-5.08430,0.61534,0.38611,0.52389,-49.05907,-2.35755,0.79000,1.55000,0.25000,0.94000,3.68870,8.26840,0.54710,1.82210,1.71000,0.99000,2.60000,1.23000,0.00000,0.23000,2.60000,1.81000,8.00000,1.40000,0.64833,60.00000,375.70000,45.50000,717.30000,0.00000,0.17280,0.40942,5.10767,55,25,6.30132
33,Cs,Mn,A,0.00000,0.00000,0.00000,-5.08430,0.61534,0.38611,0.52389,-49.05907,-2.35755,0.79000,1.55000,0.25000,0.94000,3.68870,8.26840,0.54710,1.82210,1.71000,0.99000,2.60000,1.23000,0.00000,0.23000,2.60000,1.81000,8.00000,1.40000,0.64833,60.00000,375.70000,45.50000,717.30000,0.00000,0.17280,0.40942,5.10767,55,25,2.20395
34,Cs,Re,B,0.00000,0.00000,0.00000,-6.53539,0.59357,0.37206,0.50564,-43.53932,-3.66456,0.79000,1.90000,0.25000,0.94000,3.68870,7.85300,0.54710,2.73190,1.71000,1.19000,2.60000,1.49000,0.00000,0.56500,2.60000,1.81000,8.00000,1.35000,0.71250,58.00000,375.70000,45.50000,760.00000,14.50000,0.17280,0.55272,5.18751,55,75,4.31389
35,Cs,Re,A,0.00000,0.00000,0.00000,-6.53539,0.59357,0.37206,0.50564,-43.53932,-3.66456,0.79000,1.90000,0.25000,0.94000,3.68870,7.85300,0.54710,2.73190,1.71000,1.19000,2.60000,1.49000,0.00000,0.56500,2.60000,1.81000,8.00000,1.35000,0.71250,58.00000,375.70000,45.50000,760.00000,14.50000,0.17280,0.55272,5.18751,55,75,0.99357
36,Cs,Fe,B,0.00000,0.00000,0.00000,-4.99754,0.71786,0.46858,0.61836,-53.89641,-2.14825,0.79000,1.83000,0.25000,0.99000,3.68870,8.56010,0.54710,2.30400,1.71000,0.95000,2.60000,1.16000,0.00000,0.22000,2.60000,1.81000,8.00000,1.40000,0.85250,61.00000,375.70000,45.50000,762.50000,15.70000,0.17280,0.52308,5.19780,55,26,6.76704
37,Cs,Fe,A,0.00000,0.00000,0.00000,-4.99754,0.71786,0.46858,0.61836,-53.89641,-2.14825,0.79000,1.83000,0.25000,0.99000,3.68870,8.56010,0.54710,2.30400,1.71000,0.95000,2.60000,1.16000,0.00000,0.22000,2.60000,1.81000,8.00000,1.40000,0.85250,61.00000,375.70000,45.50000,762.50000,15.70000,0.17280,0.52308,5.19780,55,26,2.55662
