,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite CS,Asite IP,Bsite IP,Asite d,Bsite d,Bsite atomic_radius,Asite exp_EA,Bsite exp_EA,GM,Asite Z,Work function
726,Tl,Al,B,0.99812,5.87619,0.0,0.0,8.35365,-0.95594,1.66,5.273,5.7109,0.46299999999999997,0.0,1.25,19.2,42.5,5.3615900000000005,81,6.21991
728,Tl,Mn,B,0.99881,4.215330000000002,0.62175,0.3544,-48.91663,-2.71083,0.94,5.273,8.2684,0.46299999999999997,0.23,1.4,19.2,0.0,5.5152,81,5.72769
730,Tl,Re,B,0.99915,2.81625,0.57867,0.37271,-43.50524,-3.78417,0.94,5.273,7.853,0.46299999999999997,0.565,1.35,19.2,14.5,5.60142,81,4.0709300000000015
732,Sn,Ta,B,0.99979,-0.27288,0.32059,0.32376,-35.93032,-4.56085,0.83,6.8885,7.3632,0.345,0.605,1.45,107.3,31.0,5.96877,50,2.49292
734,Sn,Mo,B,0.99984,0.08331000000000001,0.50529,0.34919,-36.21629,-4.2643900000000015,0.88,6.8885,6.4838,0.345,0.49,1.45,107.3,71.9,5.90649,50,2.78418
736,Sn,Nb,B,0.9998,-0.08177999999999999,0.35465,0.33044,-32.12818,-4.17531,0.82,6.8885,6.275,0.345,0.51,1.45,107.3,86.1,5.93647,50,2.28554
738,Sn,V,B,0.99984,1.08322,0.35521,0.30641,-39.28784,-3.58745,0.84,6.8885,6.4707,0.345,0.26,1.35,107.3,50.6,5.81269,50,4.0240800000000005
740,Sn,Hf,B,0.99974,1.36114,0.1963,0.30187,-29.29924,-2.17133,0.775,6.8885,7.6487,0.345,0.63,1.55,107.3,0.0,5.87588,50,4.27392
742,Sn,Zr,B,0.9998,2.30315,0.1898,0.29559,-24.69569,-1.08633,0.76,6.8885,6.8953,0.345,0.54,1.55,107.3,41.1,5.82555,50,3.2729
744,Sn,Sc,B,0.99982,2.85772,0.11636,0.2226,-24.35896,-0.64512,0.74,6.8885,6.8245,0.345,0.31,1.6,107.3,18.1,5.72619,50,4.84774
